,annual_payroll,industry,sex,ethnicity,race,buschar_label,number_of_firms,firmpdemp_f,revenue,number_of_employees
0,388085223,Total for all sectors,Female,Total,Total,All firms,1141410,,1776835350,10149257
1,9345010,Total for all sectors,Female,Total,Total,Federal government,14459,,31437292,166495
2,19813171,Total for all sectors,Female,Total,Total,State and local government,39540,,80621483,455016
3,63043259,Total for all sectors,Female,Total,Total,Other businesses,165502,,311421936,1292853
4,7923269,Total for all sectors,Female,Total,Total,Other organizations,27702,,27937335,183766
5,66242672,Total for all sectors,Female,Total,Total,Individuals,352177,,262922219,2208640
6,124545963,Total for all sectors,Female,Total,Total,Total reporting,481293,,535606196,3322174
7,17739621,Total for all sectors,Female,Total,Total,Item not reported,110862,,76009285,622151
8,279853007,Total for all sectors,Equally male/female,Total,Total,All firms,860754,,1340608478,7970121
9,3742326,Total for all sectors,Equally male/female,Total,Total,Federal government,7285,,13192535,91398
10,9913607,Total for all sectors,Equally male/female,Total,Total,State and local government,24646,,60765149,256886
11,44845333,Total for all sectors,Equally male/female,Total,Total,Other businesses,133925,,223688663,1003663
12,4188440,Total for all sectors,Equally male/female,Total,Total,Other organizations,14100,,20772211,102195
13,62382470,Total for all sectors,Equally male/female,Total,Total,Individuals,266704,,285227091,2114764
14,94369600,Total for all sectors,Equally male/female,Total,Total,Total reporting,357230,,440378086,2778304
15,13093070,Total for all sectors,Equally male/female,Total,Total,Item not reported,73180,,60936716,476339
16,21975675,Total for all sectors,Female,Hispanic,Total,All firms,84496,,91103725,722654
17,474996,Total for all sectors,Female,Hispanic,Total,Federal government,1222,,1568951,10944
18,1049343,Total for all sectors,Female,Hispanic,Total,State and local government,2599,,3160498,27364
19,3181845,Total for all sectors,Female,Hispanic,Total,Other businesses,10080,,14340169,79121
20,272270,Total for all sectors,Female,Hispanic,Total,Other organizations,1487,,1199957,9079
21,4276012,Total for all sectors,Female,Hispanic,Total,Individuals,24165,,19429601,153004
22,7037486,Total for all sectors,Female,Hispanic,Total,Total reporting,31264,,30431939,217062
