,annual_payroll,industry,sex,ethnicity,race,buschar_label,number_of_firms,firmpdemp_f,revenue,number_of_employees
0,486843,Total for all sectors,Equally male/female,Equally Hispanic/non-Hispanic,Total,Not family-owned,1725,,1776514,14101
1,4024678,Total for all sectors,Equally male/female,Equally Hispanic/non-Hispanic,Total,Total reporting,16855,,15807468,127908
2,150753,Total for all sectors,Equally male/female,Equally Hispanic/non-Hispanic,Total,Item not reported,658,,546420,6487
3,2689941006,Total for all sectors,Total,Non-Hispanic,Total,All firms,5118211,,13830500008,60007007
4,294296376,Total for all sectors,Total,Non-Hispanic,Total,Family-owned,733366,,1670082978,7552337
5,613298381,Total for all sectors,Total,Non-Hispanic,Total,Not family-owned,1778941,,2783980512,13591794
6,907594758,Total for all sectors,Total,Non-Hispanic,Total,Total reporting,2512306,,4454063491,21144131
7,32359755,Total for all sectors,Total,Non-Hispanic,Total,Item not reported,115921,,157304854,853005
8,11024868,Total for all sectors,Female,Total,Black or African American,All firms,43163,,30440533,399601
9,0,Total for all sectors,Female,Total,Black or African American,Family-owned,0,S,0,0
10,0,Total for all sectors,Female,Total,Black or African American,Not family-owned,0,S,0,0
11,0,Total for all sectors,Female,Total,Black or African American,Total reporting,0,S,0,0
12,0,Total for all sectors,Female,Total,Black or African American,Item not reported,0,S,0,0
13,22743548,Total for all sectors,Male,Total,Black or African American,All firms,69624,,88198498,650812
14,0,Total for all sectors,Male,Total,Black or African American,Family-owned,0,S,0,0
15,0,Total for all sectors,Male,Total,Black or African American,Not family-owned,0,S,0,0
16,0,Total for all sectors,Male,Total,Black or African American,Total reporting,0,S,0,0
17,0,Total for all sectors,Male,Total,Black or African American,Item not reported,0,S,0,0
18,3170813,Total for all sectors,Equally male/female,Total,Black or African American,All firms,11765,,9373368,138405
19,0,Total for all sectors,Equally male/female,Total,Black or African American,Family-owned,0,S,0,0
20,0,Total for all sectors,Equally male/female,Total,Black or African American,Not family-owned,0,S,0,0
21,0,Total for all sectors,Equally male/female,Total,Black or African American,Total reporting,0,S,0,0
22,0,Total for all sectors,Equally male/female,Total,Black or African American,Item not reported,0,S,0,0
23,8241262,Total for all sectors,Total,Total,American Indian and Alaska Native,All firms,24433,,33697503,200256
24,706916,Total for all sectors,Total,Total,American Indian and Alaska Native,Family-owned,2377,,3126919,19689
25,1326165,Total for all sectors,Total,Total,American Indian and Alaska Native,Not family-owned,8508,,5429462,37914
26,2033081,Total for all sectors,Total,Total,American Indian and Alaska Native,Total reporting,10885,,8556380,57603
27,87622,Total for all sectors,Total,Total,American Indian and Alaska Native,Item not reported,580,,276974,2520
