,industry,race,revenue_ranges
1278,Agriculture/Forestry/Fishing/Hunting,White,W
1279,Agriculture/Forestry/Fishing/Hunting,White,U
1280,Agriculture/Forestry/Fishing/Hunting,White,W
1281,Agriculture/Forestry/Fishing/Hunting,White,U
1282,Agriculture/Forestry/Fishing/Hunting,White,U
1283,Agriculture/Forestry/Fishing/Hunting,White,W
1284,Agriculture/Forestry/Fishing/Hunting,White,U
1287,Agriculture/Forestry/Fishing/Hunting,White,R
1288,Agriculture/Forestry/Fishing/Hunting,White,U
1290,Agriculture/Forestry/Fishing/Hunting,White,T
1294,Agriculture/Forestry/Fishing/Hunting,White,R
1295,Agriculture/Forestry/Fishing/Hunting,White,M
1296,Agriculture/Forestry/Fishing/Hunting,White,O
1297,Agriculture/Forestry/Fishing/Hunting,White,R
1298,Agriculture/Forestry/Fishing/Hunting,White,W
1299,Agriculture/Forestry/Fishing/Hunting,White,U
1300,Agriculture/Forestry/Fishing/Hunting,White,U
1301,Agriculture/Forestry/Fishing/Hunting,White,U
1302,Agriculture/Forestry/Fishing/Hunting,White,U
1303,Agriculture/Forestry/Fishing/Hunting,White,U
1306,Agriculture/Forestry/Fishing/Hunting,White,O
1307,Agriculture/Forestry/Fishing/Hunting,White,U
1308,Agriculture/Forestry/Fishing/Hunting,White,W
1309,Agriculture/Forestry/Fishing/Hunting,White,R
1310,Agriculture/Forestry/Fishing/Hunting,White,U
1311,Agriculture/Forestry/Fishing/Hunting,White,U
1315,Agriculture/Forestry/Fishing/Hunting,White,R
1316,Agriculture/Forestry/Fishing/Hunting,White,O
1317,Agriculture/Forestry/Fishing/Hunting,White,R
1326,Agriculture/Forestry/Fishing/Hunting,White,R
1327,Agriculture/Forestry/Fishing/Hunting,White,U
1328,Agriculture/Forestry/Fishing/Hunting,White,T
1330,Agriculture/Forestry/Fishing/Hunting,White,O
1332,Agriculture/Forestry/Fishing/Hunting,White,I
1362,Agriculture/Forestry/Fishing/Hunting,Black or African American,I
1367,Agriculture/Forestry/Fishing/Hunting,Black or African American,B
1376,Agriculture/Forestry/Fishing/Hunting,American Indian and Alaska Native,B
