,revenue,race,industry
158,1808342440,White,Total for all sectors
159,859069864,White,Total for all sectors
160,1524715059,White,Total for all sectors
161,1373000168,White,Total for all sectors
162,1017950763,White,Total for all sectors
163,2428904285,White,Total for all sectors
164,1196645206,White,Total for all sectors
165,34773799,White,Total for all sectors
166,152719766,White,Total for all sectors
167,132547826,White,Total for all sectors
168,163995478,White,Total for all sectors
169,242434543,White,Total for all sectors
170,156384631,White,Total for all sectors
171,153522223,White,Total for all sectors
172,57356572,White,Total for all sectors
173,102910368,White,Total for all sectors
174,441307754,White,Total for all sectors
175,15765709,White,Total for all sectors
176,68866999,White,Total for all sectors
177,49903238,White,Total for all sectors
178,61250070,White,Total for all sectors
179,76835306,White,Total for all sectors
180,54558575,White,Total for all sectors
181,59716520,White,Total for all sectors
182,16842556,White,Total for all sectors
183,37568781,White,Total for all sectors
184,87927836,White,Total for all sectors
185,316426423,White,Total for all sectors
186,36953495,White,Total for all sectors
187,66976711,White,Total for all sectors
188,1727359,White,Total for all sectors
189,9021486,White,Total for all sectors
190,7507648,White,Total for all sectors
191,9337665,White,Total for all sectors
192,12137179,White,Total for all sectors
193,5164987,White,Total for all sectors
196,3199079,White,Total for all sectors
197,36156045,White,Total for all sectors
198,1549679,White,Total for all sectors
199,29270987,White,Total for all sectors
200,12794878083,White,Total for all sectors
201,245402684,White,Total for all sectors
202,958412057,White,Total for all sectors
203,832327432,White,Total for all sectors
204,1116863429,White,Total for all sectors
205,1930455243,White,Total for all sectors
206,1658574461,White,Total for all sectors
207,2104179757,White,Total for all sectors
208,1190994015,White,Total for all sectors
209,2757669004,White,Total for all sectors
210,1486098025,White,Total for all sectors
211,10185244392,White,Total for all sectors
212,1123535666,White,Total for all sectors
213,128012399,Black or African American,Total for all sectors
214,15971157,Black or African American,Total for all sectors
215,5862821,Black or African American,Total for all sectors
216,21668981,Black or African American,Total for all sectors
217,15097120,Black or African American,Total for all sectors
218,20462386,Black or African American,Total for all sectors
219,16073769,Black or African American,Total for all sectors
220,14213762,Black or African American,Total for all sectors
221,6840835,Black or African American,Total for all sectors
222,11821568,Black or African American,Total for all sectors
223,13303162548,White,Total for all sectors
224,262895752,White,Total for all sectors
225,1036300542,White,Total for all sectors
226,889738319,White,Total for all sectors
227,2171307790,White,Total for all sectors
228,1187451164,White,Total for all sectors
229,2019427728,White,Total for all sectors
230,1718298023,White,Total for all sectors
231,1219306366,White,Total for all sectors
232,2798436864,White,Total for all sectors
233,1575575539,White,Total for all sectors
234,42885254,White,Total for all sectors
235,166112568,White,Total for all sectors
236,140936177,White,Total for all sectors
237,164385821,White,Total for all sectors
238,252278126,White,Total for all sectors
239,188913225,White,Total for all sectors
240,209443126,White,Total for all sectors
241,143999032,White,Total for all sectors
242,266622210,White,Total for all sectors
243,10530941803,White,Total for all sectors
244,185236698,White,Total for all sectors
245,717468209,White,Total for all sectors
246,616254316,White,Total for all sectors
247,9376,Black or African American,Total for all sectors
248,19671116,Black or African American,Total for all sectors
249,184199,Black or African American,Total for all sectors
250,119204187,Black or African American,Total for all sectors
251,5209043,Black or African American,Total for all sectors
252,13973155,Black or African American,Total for all sectors
253,14904308,Black or African American,Total for all sectors
254,19414015,Black or African American,Total for all sectors
255,13799507,Black or African American,Total for all sectors
256,13941220,Black or African American,Total for all sectors
257,6790617,Black or African American,Total for all sectors
258,11501205,Black or African American,Total for all sectors
259,22348339,American Indian and Alaska Native,Total for all sectors
260,832799,American Indian and Alaska Native,Total for all sectors
261,2888935,American Indian and Alaska Native,Total for all sectors
262,2504533,American Indian and Alaska Native,Total for all sectors
263,3909771,American Indian and Alaska Native,Total for all sectors
264,3589992,American Indian and Alaska Native,Total for all sectors
265,2943187,American Indian and Alaska Native,Total for all sectors
266,2640249,American Indian and Alaska Native,Total for all sectors
267,1565181,American Indian and Alaska Native,Total for all sectors
268,1473692,American Indian and Alaska Native,Total for all sectors
269,29147500,Black or African American,Total for all sectors
270,81100613,Black or African American,Total for all sectors
271,8956074,Black or African American,Total for all sectors
272,33697503,American Indian and Alaska Native,Total for all sectors
273,1146073,American Indian and Alaska Native,Total for all sectors
274,4465681,American Indian and Alaska Native,Total for all sectors
275,4383002,American Indian and Alaska Native,Total for all sectors
276,4869469,American Indian and Alaska Native,Total for all sectors
277,4857328,American Indian and Alaska Native,Total for all sectors
278,6121582,American Indian and Alaska Native,Total for all sectors
279,3709944,American Indian and Alaska Native,Total for all sectors
280,1816925,American Indian and Alaska Native,Total for all sectors
281,2327499,American Indian and Alaska Native,Total for all sectors
282,10177609,American Indian and Alaska Native,Total for all sectors
283,292839,American Indian and Alaska Native,Total for all sectors
284,1393267,American Indian and Alaska Native,Total for all sectors
285,1479863,American Indian and Alaska Native,Total for all sectors
286,812527,American Indian and Alaska Native,Total for all sectors
287,2386787,American Indian and Alaska Native,Total for all sectors
288,615538,American Indian and Alaska Native,Total for all sectors
290,251744,American Indian and Alaska Native,Total for all sectors
291,797686,American Indian and Alaska Native,Total for all sectors
292,30440533,Black or African American,Total for all sectors
293,1412165,Black or African American,Total for all sectors
294,5628079,Black or African American,Total for all sectors
295,4271233,Black or African American,Total for all sectors
