state,ai,cloud,software,robotics,equipment
Alabama,3265,35458,45387,3430,21042
Alaska,507,9850,9814,468,5001
Arizona,5607,65980,74866,3971,33569
Arkansas,1942,24911,31270,3328,15428
California,42735,416848,469138,24999,219118
Colorado,9168,100301,108168,4545,43733
Connecticut,2691,37245,44774,2806,19756
Delaware,1665,11833,12681,1139,5635
District of Columbia,1449,9872,8976,542,2590
Florida,24013,250243,286953,13935,123173
Georgia,9599,102146,117602,6690,52527
Hawaii,1103,11362,12397,548,6082
Idaho,1339,21683,26560,1620,14769
Illinois,12641,133086,154258,9135,75821
Indiana,5058,64376,78563,5036,39531
Iowa,3167,31912,41252,3006,21412
Kansas,2618,32542,39531,2373,18501
Kentucky,2600,36086,46199,3454,22967
Louisiana,2464,33668,42041,2377,19119
Maine,1314,15271,17428,970,8918
Maryland,5688,62348,70907,3447,30690
Massachusetts,5612,73800,80817,4689,35471
Michigan,7311,86579,108382,8161,56721
Minnesota,6420,73633,83461,4698,40012
Mississippi,2016,18490,22514,1444,12898
Missouri,4690,60051,75177,4564,34558
Montana,1478,15106,18048,1070,9159
Nebraska,1802,24914,30910,1604,16196
Nevada,2460,32251,33247,1681,14831
New Hampshire,1068,16140,19287,935,9236
New Jersey,10000,87202,103030,5577,49164
New Mexico,1449,16283,19928,975,10504
New York,16792,181039,215154,10974,98372
North Carolina,8561,107548,119975,6667,57432
North Dakota,497,9674,10407,877,6161
Ohio,9774,106935,129406,8814,62908
Oklahoma,2841,35741,44175,2301,19292
Oregon,4439,60576,69362,3263,34785
Pennsylvania,10742,113973,143303,7381,67929
Rhode Island,548,9262,10121,1174,4533
South Carolina,3941,45981,50231,3052,23928
South Dakota,973,10623,12172,685,6276
Tennessee,5213,54422,63682,4244,30066
Texas,23205,238918,275975,13887,130090
Vermont,3219,41578,45238,2728,22362
Utah,625,8442,9195,498,4542
Virginia,7802,86401,98533,4011,42042
Washington,6295,91762,102339,5566,50198
West Virginia,818,9342,12636,700,6030
Wisconsin,5622,58561,70500,6016,36072
Wyoming,475,6396,10063,368,3979
