,industry,naics2017,techuse,tech_usage,impactwf_u,tech_usage_worker_impact,number_of_firms,number_of_employees,annual_payroll
55,Total for all sectors,00,00,All firms,T1E05D01,Artificial Intelligence: Increased number of workers employed by this business,21214,4583984,257405996
56,Total for all sectors,00,00,All firms,T1E05D02,Artificial Intelligence: Decreased number of workers employed by this business,8884,770426,59057430
57,Total for all sectors,00,00,All firms,T1E05D03,Artificial Intelligence: Did not change number of workers employed by this business,111632,6516672,531294999
58,Total for all sectors,00,00,All firms,T1E05D04,Artificial Intelligence: Increased skill level of workers employed by this business,57988,6774277,440133898
59,Total for all sectors,00,00,All firms,T1E05D05,Artificial Intelligence: Decreased skill level of workers employed by this business,2587,106834,10916196
60,Total for all sectors,00,00,All firms,T1E05D06,Artificial Intelligence: Did not change skill level of workers employed by this business,81154,4989971,396708331
61,Total for all sectors,00,00,All firms,T1E05D07,Artificial Intelligence: Increased STEM skills of workers employed by this business,44200,6913448,454076169
62,Total for all sectors,00,00,All firms,T1E05D08,Artificial Intelligence: Decreased STEM skills of workers employed by this business,1550,57796,6874179
63,Total for all sectors,00,00,All firms,T1E05D09,Artificial Intelligence: Did not change STEM skills of workers employed by this business,56409,4138041,339064756
64,Total for all sectors,00,00,All firms,T1E05D10,Artificial Intelligence: N/A did not employ workers with STEM skills,39569,761797,47743321
65,Total for all sectors,00,00,All firms,T1E05D99,Artificial Intelligence: Total Reporting,141731,11871082,847758425
66,Total for all sectors,00,00,All firms,T2E08D01,Cloud-Based: Increased number of workers employed by this business,194437,12405266,661239184
67,Total for all sectors,00,00,All firms,T2E08D02,Cloud-Based: Decreased number of workers employed by this business,57268,2331950,142318195
68,Total for all sectors,00,00,All firms,T2E08D03,Cloud-Based: Did not change number of workers employed by this business,1299014,35732012,2108123630
69,Total for all sectors,00,00,All firms,T2E08D04,Cloud-Based: Increased skill level of workers employed by this business,438037,18509837,1114021723
70,Total for all sectors,00,00,All firms,T2E08D08,Cloud-Based: Decreased STEM skills of workers employed by this business,7079,164792,12144463
71,Total for all sectors,00,00,All firms,T2E08D05,Cloud-Based: Decreased skill level of workers employed by this business,12594,252698,15193775
72,Total for all sectors,00,00,All firms,T2E08D06,Cloud-Based: Did not change skill level of workers employed by this business,1100084,31706694,1782465512
73,Total for all sectors,00,00,All firms,T2E08D07,Cloud-Based: Increased STEM skills of workers employed by this business,245144,13573716,875759460
74,Total for all sectors,00,00,All firms,T2E08D09,Cloud-Based: Did not change STEM skills of workers employed by this business,655911,23841933,1467127826
75,Total for all sectors,00,00,All firms,T2E08D10,Cloud-Based: N/A did not employ workers with STEM skills,642582,12888787,556649261
76,Total for all sectors,00,00,All firms,T2E08D99,Cloud-Based: Total Reporting,1550716,50469228,2911681010
77,Total for all sectors,00,00,All firms,T3E11D01,Specialized Software: Increased number of workers employed by this business,173453,9382059,565255699
78,Total for all sectors,00,00,All firms,T3E11D02,Specialized Software: Decreased number of workers employed by this business,58702,4681155,216568462
79,Total for all sectors,00,00,All firms,T3E11D03,Specialized Software: Did not change number of workers employed by this business,1589213,38244729,2189584120
80,Total for all sectors,00,00,All firms,T3E11D04,Specialized Software: Increased skill level of workers employed by this business,458793,18143891,1083300005
81,Total for all sectors,00,00,All firms,T3E11D05,Specialized Software: Decreased skill level of workers employed by this business,15000,564097,34815838
82,Total for all sectors,00,00,All firms,T3E11D06,Specialized Software: Did not change skill level of workers employed by this business,1347574,33599954,1853292439
83,Total for all sectors,00,00,All firms,T3E11D07,Specialized Software: Increased STEM skills of workers employed by this business,259577,13334929,862198456
84,Total for all sectors,00,00,All firms,T3E11D08,Specialized Software: Decreased STEM skills of workers employed by this business,8459,219454,15479008
85,Total for all sectors,00,00,All firms,T3E11D09,Specialized Software: Did not change STEM skills of workers employed by this business,784965,25734938,1535937523
86,Total for all sectors,00,00,All firms,T3E11D10,Specialized Software: N/A did not employ workers with STEM skills,768367,13018621,557793294
87,Total for all sectors,00,00,All firms,T3E11D99,Specialized Software: Total Reporting,1821368,52307942,2971408281
88,Total for all sectors,00,00,All firms,T4E14D04,Robotics: Increased skill level of workers employed by this business,20954,6484690,404000277
89,Total for all sectors,00,00,All firms,T4E14D01,Robotics: Increased number of workers employed by this business,8827,2078827,138845417
90,Total for all sectors,00,00,All firms,T4E14D02,Robotics: Decreased number of workers employed by this business,7208,4176856,219555327
91,Total for all sectors,00,00,All firms,T4E14D03,Robotics: Did not change number of workers employed by this business,72624,8485638,647861870
92,Total for all sectors,00,00,All firms,T4E14D05,Robotics: Decreased skill level of workers employed by this business,2051,116840,12099389
93,Total for all sectors,00,00,All firms,T4E14D06,Robotics: Did not change skill level of workers employed by this business,65654,8139790,590162949
94,Total for all sectors,00,00,All firms,T4E14D07,Robotics: Increased STEM skills of workers employed by this business,17980,6061799,377678274
95,Total for all sectors,00,00,All firms,T4E14D08,Robotics: Decreased STEM skills of workers employed by this business,1434,82896,8708365
96,Total for all sectors,00,00,All firms,T4E14D09,Robotics: Did not change STEM skills of workers employed by this business,48253,7788466,564326021
97,Total for all sectors,00,00,All firms,T4E14D10,Robotics: N/A did not employ workers with STEM skills,20990,808161,55549956
98,Total for all sectors,00,00,All firms,T4E14D99,Robotics: Total Reporting,88657,14741320,1006262615
99,Total for all sectors,00,00,All firms,T5E17D01,Specialized Equipment: Increased number of workers employed by this business,86090,5150698,287376458
100,Total for all sectors,00,00,All firms,T5E17D02,Specialized Equipment: Decreased number of workers employed by this business,28311,3790361,161193659
101,Total for all sectors,00,00,All firms,T5E17D03,Specialized Equipment: Did not change number of workers employed by this business,741258,21165039,1309133713
102,Total for all sectors,00,00,All firms,T5E17D04,Specialized Equipment: Increased skill level of workers employed by this business,220018,10776953,596665929
103,Total for all sectors,00,00,All firms,T5E17D05,Specialized Equipment: Decreased skill level of workers employed by this business,11403,329837,18660004
104,Total for all sectors,00,00,All firms,T5E17D06,Specialized Equipment: Did not change skill level of workers employed by this business,624236,18999308,1142377898
105,Total for all sectors,00,00,All firms,T5E17D07,Specialized Equipment: Increased STEM skills of workers employed by this business,132667,8909881,506360311
106,Total for all sectors,00,00,All firms,T5E17D99,Specialized Equipment: Total Reporting,855657,30106098,1757703831
107,Total for all sectors,00,00,All firms,T5E17D08,Specialized Equipment: Decreased STEM skills of workers employed by this business,5258,123212,10712720
108,Total for all sectors,00,00,All firms,T5E17D09,Specialized Equipment: Did not change STEM skills of workers employed by this business,413852,16015826,1025931438
109,Total for all sectors,00,00,All firms,T5E17D10,Specialized Equipment: N/A did not employ workers with STEM skills,303879,5057179,214699362
741,Agriculture/Forestry/Fishing/Hunting,11,00,All firms,T1E05D02,Artificial Intelligence: Decreased number of workers employed by this business,44,2617,101271
742,Agriculture/Forestry/Fishing/Hunting,11,00,All firms,T1E05D03,Artificial Intelligence: Did not change number of workers employed by this business,216,6987,317471
743,Agriculture/Forestry/Fishing/Hunting,11,00,All firms,T1E05D04,Artificial Intelligence: Increased skill level of workers employed by this business,9,1514,143353
744,Agriculture/Forestry/Fishing/Hunting,11,00,All firms,T1E05D05,Artificial Intelligence: Decreased skill level of workers employed by this business,0,0,0
745,Agriculture/Forestry/Fishing/Hunting,11,00,All firms,T1E05D06,Artificial Intelligence: Did not change skill level of workers employed by this business,309,9912,383612
746,Agriculture/Forestry/Fishing/Hunting,11,00,All firms,T1E05D07,Artificial Intelligence: Increased STEM skills of workers employed by this business,12,2006,173290
747,Agriculture/Forestry/Fishing/Hunting,11,00,All firms,T1E05D99,Artificial Intelligence: Total Reporting,317,11427,526965
748,Agriculture/Forestry/Fishing/Hunting,11,00,All firms,T1E05D08,Artificial Intelligence: Decreased STEM skills of workers employed by this business,0,0,0
750,Agriculture/Forestry/Fishing/Hunting,11,00,All firms,T1E05D10,Artificial Intelligence: N/A did not employ workers with STEM skills,152,5086,153319
751,Agriculture/Forestry/Fishing/Hunting,11,00,All firms,T2E08D01,Cloud-Based: Increased number of workers employed by this business,307,4794,243520
753,Agriculture/Forestry/Fishing/Hunting,11,00,All firms,T2E08D03,Cloud-Based: Did not change number of workers employed by this business,2766,64632,2630656
754,Agriculture/Forestry/Fishing/Hunting,11,00,All firms,T2E08D04,Cloud-Based: Increased skill level of workers employed by this business,740,15831,736286
756,Agriculture/Forestry/Fishing/Hunting,11,00,All firms,T2E08D06,Cloud-Based: Did not change skill level of workers employed by this business,2410,58962,2366584
757,Agriculture/Forestry/Fishing/Hunting,11,00,All firms,T2E08D07,Cloud-Based: Increased STEM skills of workers employed by this business,355,8617,500996
759,Agriculture/Forestry/Fishing/Hunting,11,00,All firms,T2E08D09,Cloud-Based: Did not change STEM skills of workers employed by this business,1243,38989,1512647
760,Agriculture/Forestry/Fishing/Hunting,11,00,All firms,T2E08D10,Cloud-Based: N/A did not employ workers with STEM skills,1553,27186,1089228
761,Agriculture/Forestry/Fishing/Hunting,11,00,All firms,T2E08D99,Cloud-Based: Total Reporting,3205,74848,3103260
762,Agriculture/Forestry/Fishing/Hunting,11,00,All firms,T3E11D01,Specialized Software: Increased number of workers employed by this business,287,11450,484490
763,Agriculture/Forestry/Fishing/Hunting,11,00,All firms,T3E11D02,Specialized Software: Decreased number of workers employed by this business,97,3207,137048
764,Agriculture/Forestry/Fishing/Hunting,11,00,All firms,T3E11D03,Specialized Software: Did not change number of workers employed by this business,3875,85395,3227946
765,Agriculture/Forestry/Fishing/Hunting,11,00,All firms,T3E11D04,Specialized Software: Increased skill level of workers employed by this business,950,19666,933939
767,Agriculture/Forestry/Fishing/Hunting,11,00,All firms,T3E11D06,Specialized Software: Did not change skill level of workers employed by this business,3307,79557,2849963
